Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8
Facebook Marketplace,Appartement / condominium de 1 chambre et 1 salle de bain 1 bed · 1 bath,Location,Appartement,be,20000.0,1,60.0,Facebook
Facebook Marketplace,Location des appartements à Lomé baguida.,Location,Appartement,baguida,350000.0,2,60.0,Facebook
Facebook Marketplace,TERRAIN A VENDRE LOMÉ ADETIKOPE,Vente,Terrain,adetikope,30000.0,Non spécifié,43.75,Facebook
Facebook Marketplace,TERRAIN À VENDRE ADAKPAMÉ-LOMÉ,Vente,Terrain,adakpame,1500000.0,Non spécifié,87.5,Facebook
Facebook Marketplace,TERRAIN À VENDRE CENTRE VILLE LOMÉ ZONGO,Vente,Terrain,zongo,750000.0,Non spécifié,43.75,Facebook
Facebook Marketplace,TERRAIN À VENDRE DJAGBLÉ - LÉBÉ,Vente,Terrain,be,9000000.0,Non spécifié,350.0,Facebook
Facebook Marketplace,Terrain 1 lot quart soit 700m² Nyekonakpoè Togo chaussures,Vente,Terrain,nyekonakpo,7.0E7,Non spécifié,350.0,Facebook
Facebook Marketplace,Terrain 1lot et 1/4 à Nanegbe Lomé,Vente,Terrain,be,2850000.0,Non spécifié,437.5,Facebook
Facebook Marketplace,"Terrain 1lot et ¼ ,bâti clôturé à vendre à Lomé quartier cacavéli 00228 91 68 75 87",Vente,Terrain,cacavéli,5.0E7,Non spécifié,350.0,Facebook
Facebook Marketplace,Terrain 2 lots coller en vente a Lome agoe centre,Vente,Terrain,agoe,9.0E7,Non spécifié,700.0,Facebook
Facebook Marketplace,Terrain 6 lots collés Adewui à côté de l'université de Lomé,Vente,Terrain,adewui,4.0E7,Non spécifié,2100.0,Facebook
Facebook Marketplace,Terrain a vendre 1lot et 1/4 Lomé-Nukafu 120 millions,Vente,Terrain,nukafu,1.2E8,Non spécifié,437.5,Facebook
Facebook Marketplace,Terrain de 05 lots collé près de la Nationale N5 Lomé-Kpalimé,Vente,Terrain,kpalime,2000000.0,Non spécifié,1750.0,Facebook
Facebook Marketplace,Terrain de 1 lot avec tampon OTR à Noépé à 400m du goudron,Vente,Terrain,noepe,4500000.0,Non spécifié,350.0,Facebook
Facebook Marketplace,Terrain demi lot carré en vente a lome avedji,Vente,Terrain,avedji,2.2E7,Non spécifié,700.0,Facebook
Facebook Marketplace,Terrain demi lot en vente a Lomé noépé,Vente,Terrain,noepe,3500000.0,Non spécifié,350.0,Facebook
Facebook Marketplace,Terrain en vente a Lome baguida bateauvi,Vente,Terrain,baguida,1.7E7,Non spécifié,700.0,Facebook
Facebook Marketplace,Terrain en vente a Lomé adidogomé wonyomé,Vente,Terrain,wonyome,9000000.0,Non spécifié,350.0,Facebook
Facebook Marketplace,Terrain ¼ de lot à vendre à Lomé quartier djidjolé 00228 91 68 75 87,Vente,Terrain,djidjole,1600000.0,Non spécifié,87.5,Facebook
Facebook Marketplace,Terrain ½ lot clôturé à vendre à Lomé quartier avédji wessomé 00228 91 68 75 87,Vente,Terrain,avedji,1600000.0,Non spécifié,87.5,Facebook
Facebook Marketplace,Terrain ½ lot à vendre à Lomé quartier agoé légbassito 00228 91 68 75 87,Vente,Terrain,agoe,1.2E7,Non spécifié,700.0,Facebook
Facebook Marketplace,Terrain à Avedji Lomé,Vente,Terrain,avedji,1.2E7,Non spécifié,700.0,Facebook
Facebook Marketplace,Terrain à vendre Agoé Lomé,Vente,Terrain,agoe,1.2E7,Non spécifié,700.0,Facebook
Facebook Marketplace,Terrain à vendre à tokoin 3k,Vente,Terrain,tokoin,7.5E7,Non spécifié,700.0,Facebook
Facebook Marketplace,VENTE DE TERRAIN À AVETONOU 8KLM DU GOUDRON LOMÉ KPALIMÉ 🇹🇬,Vente,Terrain,kpalime,500000.0,Non spécifié,43.75,Facebook
Facebook Marketplace,VENTE DE TERRAINS À AMOUZOUKOPÉ 13 KLM DU GOUDRON LOMÉ- KPALIMÉ 🇹🇬,Vente,Terrain,kpalime,600000.0,Non spécifié,43.75,Facebook
Facebook Marketplace,VENTE DE TERRAINS À AVETONOU 8KLM DU GOUDRON LOMÉ KPALIMÉ 🇹🇬,Vente,Terrain,kpalime,500000.0,Non spécifié,43.75,Facebook
Facebook Marketplace,À VENDRE 1 LOT DE TERRAIN AU BORD DU GOUDRON DE LOMÉ KPALIMÉ À ZANGUÉRA,Vente,Terrain,kpalime,4.0E7,Non spécifié,350.0,Facebook
Facebook Marketplace,À VENDRE 1/2 LOT DE TERRAIN À AGOÈ LÉGBASSITO,Vente,Terrain,agoe,1.6E7,Non spécifié,175.0,Facebook
Facebook Marketplace,À VENDRE 20 HECTARES DE TERRAIN SUR LA VOIE DE LOMÉ-KPALIMÉ,Vente,Terrain,kpalime,2000000.0,Non spécifié,87.5,Facebook
Facebook Marketplace,À VENDRE TERRAIN SUR  1/2 LOT À BAGUIDA - ADAMAVO À 1.8KM DU GOUDRON LOME-ANEHO,Vente,Terrain,aneho,1.8E7,Non spécifié,175.0,Facebook
Facebook Marketplace,☎️🇹🇬 TÉL [hidden information] Appartement meublé Lomé tokoin pharmacie gbonssime,Location,Appartement,tokoin,15000.0,2,60.0,Facebook
Facebook Marketplace,☎️🇹🇬 TÉL [hidden information] TERRAIN A vendre à Lomé quartier adidogome wonyome 1/4 de lot,Vente,Terrain,wonyome,9000000.0,Non spécifié,87.5,Facebook
Facebook Marketplace,☎️🇹🇬 TÉL [hidden information] terrain 1/4 Avendre Lomé adidogome wonyome,Vente,Terrain,wonyome,9000000.0,Non spécifié,350.0,Facebook
Facebook Marketplace,☎️🇹🇬 TÉL[hidden information] Appartement meublé à Lomé avedji,Location,Appartement,avedji,20000.0,1,60.0,Facebook
