prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
GOLFE,Zone 1,quartier administratif,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,wetirivikondji,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,adoboukomé,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,abobokomé,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,sanguera,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,kokétimé,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,agbadahonou,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,adawlato,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,béniglato,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,aguiarkomé,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 1,fréau jardin,5.0E7,600.0,83333.0,ValeursVenales
GOLFE,Zone 2,kodjoviakopé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,nyéconakpoè,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,octaviano nétimé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,hanoukopé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,doulassamé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,amoutivé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,lomnava,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,kpehénou,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,bassadji,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,bè apéyémé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,souza nétimé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 2,anthonio nétimé,4.0E7,600.0,66667.0,ValeursVenales
GOLFE,Zone 3,kotokou kondji,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,bè ahligo,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,ablogamé,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,wété,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,akodéssewa,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,gbenyédji,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,bè,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,tokoin ouest,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,tokoin hopital,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,tokoin solidarité,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,cassablanca,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,abové,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,akossombo,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,tokoin gbadago,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,tokoin elavagnon,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,tokoin lycée,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,gbonvié,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,dogbéavou,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,saint joseph,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 3,bè kpota,2.5E7,600.0,41667.0,ValeursVenales
GOLFE,Zone 4,klikamé,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,université,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,doulassamé,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,tokoin tamé,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,tokoin forever,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,tokoin nkafu,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,tokoin wuiti,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,hédzranawoé,1.25E7,600.0,20833.0,ValeursVenales
GOLFE,Zone 4,tokoin aéroport,1.25E7,600.0,20833.0,ValeursVenales
