Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source
COIN D'AFRIQUE,*Terrain 1 lot à Agoè station total Minamadou,VENTE,TERRAIN,agoe,3.8E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,3/4 de terrain clôturer - Hedranawoé,VENTE,TERRAIN,hedzranawoe,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Bè te villa 3 pièces a Agoé assiyeye,VENTE,VILLA,be,3.5E7,3,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Entrepôt (baguida),VENTE,ENTREPOT,baguida,1.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Immeuble de bureaux à Avédji Limousine,LOCATION,IMMEUBLE,avedji,800000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Location 1 lot à Agoe Sogbossito,LOCATION,TERRAIN,sogbossito,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Location bureaux & commerces 80m2 - Tokoin hôpital,LOCATION,BUREAU/COMMERCE,tokoin,350000.0,Non spécifié,80.0,CoinAfrique,coinafrique
Facebook Marketplace,Location des appartements à Lomé baguida.,Location,Appartement,baguida,350000.0,2,60.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Location entrepôt 100m² Tokoin casablanca au bord du goudron,LOCATION,ENTREPOT,tokoin,300000.0,Non spécifié,100.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Location ou vente villa duplex à piscine à Baguida,VENTE,VILLA,piscine a baguida,1800000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,M terrain 1 lot - Adidogomé,VENTE,TERRAIN,adidogome,4.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle - Agbavi,VENTE,TERRAIN,agbavi,1.8E8,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle - Agoe Assiyeye,VENTE,TERRAIN,agoe assiyeye,5.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle - Agoe Legbassito,VENTE,TERRAIN,agoe legbassito,3.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle - Agoe Lègbassito kognito,VENTE,TERRAIN,agoe legbassito kognito,1.2E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle - Agoè,VENTE,TERRAIN,agoe,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
