titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source
Boutique 1 pièce(s) 50 m² - Baguida,LOCATION,Boutique,baguida,70000,1.0,50.0,immoask
Villa 3 pièce(s) 104 m² - Agoe,LOCATION,Villa,agoe,250000,3.0,104.0,immoask
Appartement 3 pièce(s) 10 m² - Adetikope,LOCATION,Appartement,adetikope,100000,3.0,10.0,immoask
Maison 3 pièce(s) 10 m² - Afagnan,LOCATION,Maison,afagnan,80000,3.0,10.0,immoask
Villa 3 pièce(s) 10 m² - Adetikope,LOCATION,Villa,adetikope,90000,3.0,10.0,immoask
Chambre salon 1 pièce(s) 14 m² - Baguida,LOCATION,Chambre Salon,baguida,300000,1.0,14.0,immoask
Appartement meublé 1 pièce(s) 30 m² - Agbalépédo,LOCATION,Appartement,agbalépédo,450000,1.0,30.0,immoask
Appartement meublé 1 pièce(s) 25 m² - Djidjolé,LOCATION,Appartement,djidjolé,500000,1.0,25.0,immoask
Terrain urbain 2 pièce(s) 600 m² - Agoe,VENTE,Terrain,agoe,32000000,2.0,600.0,immoask
Appartement 3 pièce(s) 40 m² - Ablogame,LOCATION,Appartement,ablogame,250000,3.0,40.0,immoask
Appartement 3 pièce(s) 10 m² - Bè,LOCATION,Appartement,bè,300000,3.0,10.0,immoask
Maison 4 pièce(s) 600 m² - Avepozo,VENTE,Maison,avepozo,35000000,4.0,600.0,immoask
Appartement meublé 2 pièce(s) 80 m² - Adidogome,LOCATION,Appartement,adidogome,500000,2.0,80.0,immoask
Appartement 3 pièce(s) 60 m² - Totsi,LOCATION,Appartement,totsi,200000,3.0,60.0,immoask
Appartement 3 pièce(s) 70 m² - Adidogome,LOCATION,Appartement,adidogome,80000,3.0,70.0,immoask
Appartement 2 pièce(s) 40 m² - Djidjolé,LOCATION,Appartement,djidjolé,90000,2.0,40.0,immoask
Villa 3 pièce(s) 80 m² - Djidjolé,LOCATION,Villa,djidjolé,200000,3.0,80.0,immoask
Villa 3 pièce(s) 900 m² - Agoe,VENTE,Villa,agoe,45000000,3.0,900.0,immoask
Appartement meublé 2 pièce(s) 78 m² - Adidogome,LOCATION,Appartement,adidogome,1150000,2.0,78.0,immoask
Appartement meublé 1 pièce(s) 20 m² - Adidogome,LOCATION,Appartement,adidogome,673000,1.0,20.0,immoask
Appartement 3 pièce(s) 80 m² - Agoe,LOCATION,Appartement,agoe,100000,3.0,80.0,immoask
