prefecture,zone_admin,Type d'offre,Type de bien,zone,prix,surface_m2,prix_m2_officiel,source
GOLFE,ZONE 1,VENTE,TERRAIN,quartier administratif,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,wetirivikondji,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,adoboukome,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,abobokome,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,zanguera,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,koketime,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,agbadahonou,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,adawlato,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,beniglato,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,aguiarkome,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,freau jardin,50000000,600,83333,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,kodjoviakope,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,nyeconakpoe,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,octaviano netime,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,hanoukope,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,doulassame,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,amoutive,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,lomnava,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,kpehenou,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,bassadji,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,be apeyeme,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,souza netime,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,anthonio netime,40000000,600,66667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,kotokou kondji,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,be ahligo,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,ablogame,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,wete,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,akodessewa,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,gbenyedji,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,be,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,tokoin ouest,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,tokoin hopital,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,tokoin solidarite,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,cassablanca,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,above,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,akossombo,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,tokoin gbadago,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,tokoin elavagnon,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,tokoin lycee,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,gbonvie,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,dogbeavou,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,saint joseph,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,be kpota,25000000,600,41667,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,klikame,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,universite,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,doulassame,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,tokoin tame,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,tokoin forever,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,tokoin nkafu,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,tokoin wuiti,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,hedzranawoe,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,tokoin aeroport,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,lome ii (hors cite oua et caisse),12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,agbalepedogan,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,totsi-cacaveli,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,kelegougan,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,attiegou,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,soviepe,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,avenou batome,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,kegue,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,aflao gakli,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,amandahome,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,apedokoe,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,avedji,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,akodessewa kponou,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,kanyikope,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,adakpame,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,akodessewa kpota,12500000,600,20833,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,sagbado,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,yokoe,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,awatame,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,gblinkomegan,7000000,600,11667,valeursvenales
