Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,id,nuo,usage,categorie,garage,cout_mensuel,cout_vente,nuitee,Préfecture,Zone,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),date_annonce,annee,trimestre,periode
COIN D'AFRIQUE,Location appartement 2 chambres salon à la Caisse,LOCATION,APPARTEMENT,CITE OUA,130000000.0,3.0,48.0,43333333.0,2708333.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement haut standing meublée à SOTED,LOCATION,APPARTEMENT MEUBLE,SOTED,7000000.0,5.0,750.0,1400000.0,9333.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 2 chambres salon meublé à Nukafu,LOCATION,APPARTEMENT MEUBLE,NUKAFU,4300000.0,2.0,32.0,2150000.0,134375.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 4 chambres meublé - Togo,LOCATION,APPARTEMENT MEUBLE,TOGO 2000,1900000.0,4.0,64.0,475000.0,29688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée 4 pièces - Assivito,LOCATION,APPARTEMENT MEUBLE,ASSIVITO,1500000.0,4.0,64.0,375000.0,23438.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée 4 pièces - Centre ville fréau jardin,LOCATION,APPARTEMENT MEUBLE,CENTRE VILLE FREAU JARDIN,1500000.0,4.0,64.0,375000.0,23438.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,"Location appartement - Cité renaissance (,caise de lomê)",LOCATION,APPARTEMENT,CITE RENAISSANCE,1400000.0,5.0,350.0,280000.0,4000.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé haut standing Nyekonakpoe,LOCATION,APPARTEMENT MEUBLE,NYEKONAKPOE,1100000.0,4.0,114.0,275000.0,9649.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Klikamé,LOCATION,APPARTEMENT MEUBLE,KLIKAME,950000.0,3.0,48.0,316667.0,19792.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé haut standings - Klikamé n,LOCATION,APPARTEMENT MEUBLE,KLIKAME,950000.0,3.0,80.0,316667.0,11875.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces - Lomé,LOCATION,APPARTEMENT MEUBLE,LOME,900000.0,4.0,64.0,225000.0,14062.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement chambre salon meublé centre ville Fréau jardin.,LOCATION,APPARTEMENT MEUBLE,CENTRE VILLE,900000.0,2.0,53.0,450000.0,16981.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 02 pièces Lomé_fréau jardin,LOCATION,APPARTEMENT MEUBLE,FREAU JARDIN,900000.0,2.0,32.0,450000.0,28125.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement chambre salon à centre ville Fréau jardin,LOCATION,APPARTEMENT,CENTRE VILLE FREAU JARDIN,900000.0,2.0,32.0,450000.0,28125.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé Lomé_fréau jardin,LOCATION,APPARTEMENT MEUBLE,CENTRE VILLE FREAU JARDIN,900000.0,2.0,53.0,450000.0,16981.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces à Lomé,LOCATION,APPARTEMENT MEUBLE,LOME,900000.0,3.0,48.0,300000.0,18750.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Centre ville Fréau jardin,LOCATION,APPARTEMENT MEUBLE,CENTRE VILLE FREAU JARDIN,900000.0,3.0,77.0,300000.0,11688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé haut standing de l'aéroport,LOCATION,APPARTEMENT MEUBLE,TOGO 2000,900000.0,3.0,77.0,300000.0,11688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée de 02 pièces à aéroport,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE AEROPORT,900000.0,2.0,32.0,450000.0,28125.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements meublée 02 pièces - cité renaissance Lomé,LOCATION,APPARTEMENT MEUBLE,CITE RENAISSANCE,750000.0,2.0,32.0,375000.0,23438.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 chambres salon Lomé cité Renaissance,LOCATION,APPARTEMENT MEUBLE,CITE RENAISSANCE,750000.0,2.0,32.0,375000.0,23438.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Lomé,LOCATION,APPARTEMENT MEUBLE,LOME,750000.0,3.0,48.0,250000.0,15625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Lomé cité renaissance,LOCATION,APPARTEMENT MEUBLE,LOME,750000.0,3.0,48.0,250000.0,15625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
