Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source
IMMOASK,Boutique 1 pièce(s) 50 m² - Baguida,LOCATION,BOUTIQUE,BAGUIDA,70000,1,50.0,70000.0,1400,immoask
IMMOASK,Villa 3 pièce(s) 104 m² - Agoe,LOCATION,APPARTEMENT,AGOE,250000,3,104.0,83333.0,2404,immoask
IMMOASK,Espace commercial 2 pièce(s) 10 m² - Kpomé,LOCATION,BOUTIQUE,KPOME,5003,2,10.0,2502.0,500,immoask
IMMOASK,Espace commercial 2 pièce(s) 10 m² - Kpomé,LOCATION,BOUTIQUE,KPOME,5003,2,10.0,2502.0,500,immoask
IMMOASK,Espace commercial 2 pièce(s) 10 m² - Kpomé,LOCATION,BOUTIQUE,KPOME,5003,2,10.0,2502.0,500,immoask
IMMOASK,Appartement 3 pièce(s) 10 m² - Adetikope,LOCATION,APPARTEMENT,ADETIKOPE,100000,3,10.0,33333.0,10000,immoask
IMMOASK,Maison 3 pièce(s) 10 m² - Afagnan,LOCATION,APPARTEMENT,AFAGNAN,80000,3,10.0,26667.0,8000,immoask
IMMOASK,Villa 3 pièce(s) 10 m² - Adetikope,LOCATION,APPARTEMENT,ADETIKOPE,90000,3,10.0,30000.0,9000,immoask
IMMOASK,Chambre salon 1 pièce(s) 14 m² - Baguida,LOCATION,CHAMBRE,BAGUIDA,300000,1,14.0,300000.0,21429,immoask
IMMOASK,Appartement meublé 1 pièce(s) 30 m² - Agbalépédo,LOCATION,APPARTEMENT MEUBLE,AGBALEPEDO,450000,1,30.0,450000.0,15000,immoask
IMMOASK,Appartement meublé 1 pièce(s) 25 m² - Djidjolé,LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,500000,1,25.0,500000.0,20000,immoask
IMMOASK,Terrain urbain 2 pièce(s) 600 m² - Agoe,VENTE,TERRAIN URBAIN,AGOE,32000000,,600.0,,53333,immoask
IMMOASK,Appartement 3 pièce(s) 40 m² - Ablogame,LOCATION,APPARTEMENT,ABLOGAME,250000,3,40.0,83333.0,6250,immoask
IMMOASK,Appartement 3 pièce(s) 10 m² - Bè,LOCATION,APPARTEMENT,BE,300000,3,10.0,100000.0,30000,immoask
IMMOASK,Maison 4 pièce(s) 600 m² - Avepozo,VENTE,MAISON,AVEPOZO,35000000,4,600.0,,58333,immoask
IMMOASK,Appartement meublé 2 pièce(s) 80 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,500000,2,80.0,250000.0,6250,immoask
IMMOASK,Terrain urbain 2 pièce(s) 600 m² - Ablogame,LOCATION,TERRAIN URBAIN,ABLOGAME,400000,2,600.0,200000.0,667,immoask
IMMOASK,Appartement 3 pièce(s) 60 m² - Totsi,LOCATION,APPARTEMENT,TOTSI,200000,3,60.0,66667.0,3333,immoask
IMMOASK,Appartement 3 pièce(s) 70 m² - Adidogome,LOCATION,APPARTEMENT,ADIDOGOME,80000,3,70.0,26667.0,1143,immoask
IMMOASK,Appartement 2 pièce(s) 40 m² - Djidjolé,LOCATION,APPARTEMENT,DJIDJOLE,90000,2,40.0,45000.0,2250,immoask
IMMOASK,Villa 3 pièce(s) 80 m² - Djidjolé,LOCATION,APPARTEMENT,DJIDJOLE,200000,3,80.0,66667.0,2500,immoask
IMMOASK,Villa 3 pièce(s) 900 m² - Agoe,VENTE,VILLA,AGOE,45000000,3,900.0,,50000,immoask
IMMOASK,Villa 3 pièce(s) 900 m² - Agoe,LOCATION,APPARTEMENT,AGOE,90000,3,900.0,30000.0,100,immoask
IMMOASK,Appartement meublé 2 pièce(s) 78 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,1150000,2,78.0,575000.0,14744,immoask
IMMOASK,Appartement meublé 1 pièce(s) 20 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,673000,1,20.0,673000.0,33650,immoask
IMMOASK,Appartement 3 pièce(s) 80 m² - Agoe,LOCATION,APPARTEMENT,AGOE,100000,3,80.0,33333.0,1250,immoask
IMMOASK,Appartement meublé 2 pièce(s) 70 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,1070000,2,70.0,535000.0,15286,immoask
IMMOASK,Appartement meublé 2 pièce(s) 77 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,980000,2,77.0,490000.0,12727,immoask
IMMOASK,Appartement meublé 1 pièce(s) 60 m² - Adewui,LOCATION,APPARTEMENT MEUBLE,ADEWUI,430000,1,60.0,430000.0,7167,immoask
IMMOASK,Appartement meublé 2 pièce(s) 71 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,450000,2,71.0,225000.0,6338,immoask
IMMOASK,Appartement meublé 1 pièce(s) 25 m² - Adewui,LOCATION,APPARTEMENT MEUBLE,ADEWUI,320000,1,25.0,320000.0,12800,immoask
IMMOASK,Villa 3 pièce(s) 80 m² - Totsi,LOCATION,APPARTEMENT,TOTSI,200000,3,80.0,66667.0,2500,immoask
IMMOASK,Appartement meublé 2 pièce(s) 70 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,1150000,2,70.0,575000.0,16429,immoask
IMMOASK,Appartement meublé 1 pièce(s) 26 m² - Hédzranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000,1,26.0,350000.0,13462,immoask
IMMOASK,Appartement meublé 1 pièce(s) 20 m² - Hédzranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,250000,1,20.0,250000.0,12500,immoask
IMMOASK,Villa 4 pièce(s) 150 m² - Agbalépédo,LOCATION,APPARTEMENT,AGBALEPEDO,380000,4,150.0,95000.0,2533,immoask
IMMOASK,Appartement 2 pièce(s) 60 m² - Agoe,LOCATION,APPARTEMENT,AGOE,70000,2,60.0,35000.0,1167,immoask
IMMOASK,Chambre 1 pièce(s) 15 m² - Adidogome,LOCATION,CHAMBRE,ADIDOGOME,30000,1,15.0,30000.0,2000,immoask
IMMOASK,Appartement meublé 2 pièce(s) 70 m² - Adidogome,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,1092000,2,70.0,546000.0,15600,immoask
IMMOASK,Appartement 3 pièce(s) 80 m² - Djidjolé,LOCATION,APPARTEMENT,DJIDJOLE,220000,3,80.0,73333.0,2750,immoask
IMMOASK,Terrain urbain 2 pièce(s) 450 m² - Segbe,VENTE,TERRAIN URBAIN,SEGBE,8500000,,450.0,,18889,immoask
IMMOASK,"villa,louer,lome,sagboville",LOCATION,APPARTEMENT,SAGBOVILLE,200000,3,10.0,66667.0,20000,immoask
IMMOASK,"villa meublée,louer,lome,agoe",LOCATION,VILLA MEUBLE,AGOE,800000,4,600.0,200000.0,1333,immoask
IMMOASK,"villa meublée,louer,lome,agoe",LOCATION,VILLA MEUBLE,AGOE,800000,4,600.0,200000.0,1333,immoask
IMMOASK,"villa,louer,lome,adidogome",LOCATION,APPARTEMENT,ADIDOGOME,250000,3,150.0,83333.0,1667,immoask
IMMOASK,"terrain,vendre,lome,djagble",VENTE,TERRAIN,DJAGBLE,15000000,,600.0,,25000,immoask
IMMOASK,"bureau,louer,lome,bernard cope",LOCATION,BUREAU,AGOE,150000,5,60.0,30000.0,2500,immoask
IMMOASK,"boutique,louer,lome,agbalepedo",LOCATION,BOUTIQUE,AGBALEPEDO,60000,1,20.0,60000.0,3000,immoask
IMMOASK,"villa,louer,lome,zossime",LOCATION,APPARTEMENT,AGOE,150000,4,100.0,37500.0,1500,immoask
IMMOASK,"terrain,vendre,lome,akepedo",VENTE,TERRAIN,AKEPEDO,320000000,,600.0,,533333,immoask
IMMOASK,"appartement meublé,louer,lome,kegue",LOCATION,APPARTEMENT MEUBLE,KEGUE,500000,2,90.0,250000.0,5556,immoask
IMMOASK,"appartement meublé,louer,lome,agoe",LOCATION,APPARTEMENT MEUBLE,AGOE,400000,2,300.0,200000.0,1333,immoask
