source,id,nuo,titre,usage,offre,categorie,ville,quartier,piece,surface,garage,cout_mensuel,cout_vente,nuitee
ImmoAsk,1566,5506,Villa Lomé,Logement,louer,Appartement,Tsevie,,3,120.0,1,500,0,50
ImmoAsk,1565,5505,,Logement,louer,Boutique,Lome,Baguida,1,50.0,0,70000,0,0
ImmoAsk,1564,5504,,Logement,louer,Villa,Lome,Agoe,3,104.0,2,250000,0,0
ImmoAsk,1563,5503,,Logement,louer,Espace commercial,Tabligbo,Kpomé,0,10.0,0,5003,0,0
ImmoAsk,1562,5502,,Logement,louer,Espace commercial,Tabligbo,Kpomé,0,10.0,0,5003,0,0
ImmoAsk,1561,5501,,Logement,louer,Espace commercial,Tabligbo,Kpomé,0,10.0,0,5003,0,0
ImmoAsk,1560,5500,,Logement,louer,Appartement,Lome,Adetikope,0,10.0,0,100000,0,0
ImmoAsk,1559,5499,,Logement,louer,Maison,Afagnan,Afagnan,0,10.0,0,80000,0,0
ImmoAsk,1558,5498,,Logement,louer,Villa,Lome,Adetikope,0,10.0,0,90000,0,0
ImmoAsk,1557,5497,,Sejour,louer,Chambre salon,Lome,Baguida,0,14.0,0,300000,0,20000
ImmoAsk,1556,5496,,Sejour,louer,Appartement meublé,Lome,Agbalépédo,1,30.0,1,450000,0,25000
ImmoAsk,1555,5495,,Sejour,louer,Appartement meublé,Lome,Djidjolé,1,25.0,1,500000,0,20000
ImmoAsk,1554,5494,,Acquisition,vendre,Terrain urbain,Lome,Agoe,0,600.0,0,0,32000000,0
ImmoAsk,1553,5493,,Logement,louer,Appartement,Lome,Ablogame,3,40.0,1,250000,0,0
ImmoAsk,1552,5492,,Logement,louer,Appartement,Lome,Bè,0,10.0,1,300000,0,0
ImmoAsk,1551,5491,,Acquisition,vendre,Maison,Lome,Avepozo,4,600.0,0,0,35000000,0
ImmoAsk,1550,5490,,Sejour,louer,Appartement meublé,Lome,Adidogome,2,80.0,1,500000,0,50000
ImmoAsk,1549,5489,,Logement,bailler,Terrain urbain,Lome,Ablogame,0,600.0,0,400000,0,0
ImmoAsk,1548,5488,,Logement,louer,Appartement,Lome,Totsi,3,60.0,1,200000,0,0
ImmoAsk,1547,5487,,Logement,louer,Appartement,Lome,Adidogome,3,70.0,2,80000,0,0
ImmoAsk,1546,5486,,Logement,louer,Appartement,Lome,Djidjolé,2,40.0,0,90000,0,0
ImmoAsk,1545,5485,,Logement,louer,Villa,Lome,Djidjolé,3,80.0,1,200000,0,0
