Préfecture,Zone,Type d'offre,Type de bien,Quartier,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),source
GOLFE,ZONE 1,VENTE,TERRAIN,QUARTIER ADMINISTRATIF,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,WETIRIVIKONDJI,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,ADOBOUKOME,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,ABOBOKOME,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,ZANGUERA,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,KOKETIME,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,AGBADAHONOU,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,ADAWLATO,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,BENIGLATO,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,AGUIARKOME,50000000,600,83333,valeursvenales
GOLFE,ZONE 1,VENTE,TERRAIN,FREAU JARDIN,50000000,600,83333,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,KODJOVIAKOPE,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,NYECONAKPOE,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,OCTAVIANO NETIME,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,HANOUKOPE,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,DOULASSAME,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,AMOUTIVE,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,LOMNAVA,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,KPEHENOU,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,BASSADJI,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,BE APEYEME,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,SOUZA NETIME,40000000,600,66667,valeursvenales
GOLFE,ZONE 2,VENTE,TERRAIN,ANTHONIO NETIME,40000000,600,66667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,KOTOKOU KONDJI,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,BE AHLIGO,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,ABLOGAME,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,WETE,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,AKODESSEWA,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,GBENYEDJI,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,BE,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,TOKOIN OUEST,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,TOKOIN HOPITAL,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,TOKOIN SOLIDARITE,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,CASSABLANCA,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,ABOVE,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,AKOSSOMBO,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,TOKOIN GBADAGO,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,TOKOIN ELAVAGNON,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,TOKOIN LYCEE,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,GBONVIE,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,DOGBEAVOU,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,SAINT JOSEPH,25000000,600,41667,valeursvenales
GOLFE,ZONE 3,VENTE,TERRAIN,BE KPOTA,25000000,600,41667,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,KLIKAME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,UNIVERSITE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,DOULASSAME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,TOKOIN TAME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,TOKOIN FOREVER,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,TOKOIN NKAFU,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,TOKOIN WUITI,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,HEDZRANAWOE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,TOKOIN AEROPORT,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,LOME II (HORS CITE OUA ET CAISSE),12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AGBALEPEDOGAN,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,TOTSI-CACAVELI,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,KELEGOUGAN,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,ATTIEGOU,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,SOVIEPE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AVENOU BATOME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,KEGUE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AFLAO GAKLI,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AMANDAHOME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,APEDOKOE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AVEDJI,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AKODESSEWA KPONOU,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,KANYIKOPE,12500000,600,20833,valeursvenales
